Đây là ChatBot là cố vấn cho Viện quốc tế của đại học Hutech, tên là HuBot.
Xin chào	Chào bạn, tôi là cố vấn cho Viện quốc tế của đại học Hutech. Tôi có thể giúp gì được cho bạn?
Các quyền lợi mà sinh viên được nhận khi tham gia Chương trình liên kết Đại học CY CERGY PARIS - Pháp?	Các quyền lợi của sinh viên: Chương trình đào tạo hoàn toàn bằng tiếng Anh, sinh viên sẽ được đào tạo Tiếng Anh tăng cường miễn phí để học tập và làm việc hiệu quả, Trang bị ngôn ngữ, văn hóa Pháp và nền ẩm thực phong phú của Pháp, Môi trường học tập theo tiêu chuẩn quốc tế; sĩ số lớp học giới hạn, Trang thiết bị học tập và phòng thực hành hiện đại theo tiêu chuẩn của UCP, Giáo sư Pháp và Việt Nam có chuyên môn cao trực tiếp giảng dạy (60% giảng viên Pháp - 40% giảng viên Việt Nam), Phần lớn thời lượng chương trình dành cho thực hành, tham quan và thực tập tại các nhà hàng, khách sạn do Tổng lãnh sự quán Pháp tại Việt Nam giới thiệu, Được giới thiệu làm việc tại các tập đoàn khách sạn và nhà hàng theo tiêu chuẩn quốc tế 5 sao trở lên trong và ngoài nước sau khi tốt nghiệp, Bằng cấp có giá trị toàn cầu, được Bộ Giáo dục Việt Nam công nhận.
Thời gian mà Chương trình Chuẩn Quốc Tế đào tạo là bao lâu?	Tùy vào các ngành mà sinh viên đã chọn, nhưng thời gian đào tào thường kéo dài từ 3.5 - 4.5 năm.
Trường Đại học Công Nghệ Tp Hồ Chí Minh có bao nhiêu chi nhánh?	Địa chỉ các cơ sở học của trường: Cơ sở A, B: 475A Điện Biên Phủ, P.25, Q.Bình Thạnh, TP.HCM; Cơ sở U: 31/36 Ung Văn Khiêm, P.25, Q.Bình Thạnh, TP.HCM; Cơ sở E: Phân khu đào tạo E1, Khu Công Nghệ cao TP.HCM, Phường Hiệp Phú, TP. Thủ Đức, TP.HCM; Cơ sở R: Viện Công nghệ Cao Hutech, Lô E2B4, đường D1, Phường Long Thạnh Mỹ, khu Công Nghệ Cao, TP. Thủ Đức, TP.HCM
Sinh viên khi học các Chương trình của Viện Đào tạo Quốc Tế thường sẽ học tại các chi nhánh nào?	Sinh viên thường sẽ học và thực hành tại chi nhánh chính là khu vực A,B tại 475A Điện Biên Phủ, phường 25, quận Bình Thạnh.
Giờ học của từng ca là mấy giờ?	Buổi sáng: Ca 1 (tiết 1,2,3): từ 06g45' đến 09g00' - Ca 2 (tiết 4,5,6): từ 09g20' đến 11g35'; Buổi chiều: Ca 3 (tiết 7,8,9): từ 12g30' đến 14g45' - Ca 4 (tiết 10,11,12): từ 15g05' đến 17g20'; Buổi tối: Ca 5 (tiết 13,14,15): từ 18g00' đến 20g15'
Các ngân hàng để đóng học phí?	Đơn vị thụ hưởng: TRƯỜNG ĐẠI HỌC CÔNG NGHỆ TP. HCM. Số tài khoản :	1068259999 tại Vietcombank ; 303 600 888 tại ACB; 3151 000 109 9999 tại BIDV; 1600 201058 790 tại Agribank; 112 000 005 193 tại Vietinbank; 119219 68127012 tại Techcombank; 060180090099 tại Sacombank.
Nội dung đống tiền học qua ngân hàng là gì?	<HỌ VÀ TÊN SINH VIÊN> <MÃ SỐ SINH VIÊN>; Vd: Nguyen Van A, 1234567890
Thời gian làm việc của văn phòng Viện đào tạo quốc tế?	Sáng Thứ 2 đến Thứ 7: từ 7g30 đến 11g30; Chiều Thứ 2 đến Thứ 6 : từ 13g30 đến 16g30
Ngành tài chính - ngân hàng là gì?	Tài chính ngân hàng là ngành học tương đối rộng, liên quan đến tất cả các dịch vụ giao dịch tài chính, lưu thông và vận hành tiền tệ. Nói một cách cụ thể hơn thì Tài chính ngân hàng là lĩnh vực kinh doanh tiền tệ thông qua ngân hàng, công ty tài chính và các công cụ tài chính được ngân hàng phát hành nhằm bảo lãnh, thanh toán, chi trả trong cả nội địa và quốc tế.
Ngành tài chính ngân hàng có các ngành chuyên sâu gì?	Ngành tài chính ngân hàng có nhiều lĩnh vực. Nhưng tiêu biểu nhất là Ngân hàng, Tài chính ngân hàng, Tài chính thuế, Tài chính bảo hiểm, Đầu tư, Phân tích tài chính, Kinh tế học tài chính,...
Mã ngành của ngành Tài Chính - Ngân Hàng là gì?	Mã ngành của ngành tài chính - ngân hàng là 7340201.
Khi tốt nghiệp ngành Tài Chính - Ngân Hàng, sinh viên sẽ nhận được bằng gì? 	Khi tốt nghiệp, sinh viên sẽ được nhận bằng Cử nhân do Đại học Công Nghệ TP.HCM (Hutech) cấp theo quy định của Bộ Giáo Dục & Đào Tạo. 
Các môn đại cương, sinh viên phải học trong ngành Tài Chính - Ngân Hàng là?	Các môn đại cương mà sinh viên phải học bao gồm: Tiếng Anh, Tư duy thiết kế dự án, Quốc phòng an ninh,Đại số tuyến tính và giải tích, Triết học Mác - Lê Nin, Nhập môn công nghệ thông tin, Quản trị học, Lịch sử đảng cộng sản Việt Nam, Luật và khởi nghiệp, Giáo dục thể chất, Kinh tế chính trị Mác - Lê Nin,Đổi mới sáng tạo và tư duy khởi nghiệp,Tư tưởng Hồ Chí Minh,Chủ nghĩa xã hội khoa học.
Tổng số tín chỉ khi học ngành Tài Chính - Ngân Hàng?	Có tất cả 155 tín chỉ phải hoàn thành.
Các môn chuyên ngành tiêu biểu của ngành Tài Chính - Ngân Hàng?	Các môn chuyên ngành tiêu biểu: Tài chính doanh nghiệp, Thị trường tài chính, Tài chính quốc tế, Thị trường chứng khoán,  Thẩm định tín dụng, Kinh doanh ngoại hối, QT ngân hàng thương mại, QT rủi ro tài chính, Luật kinh tế, Tài chính công ty đa quốc gia.
Các tố chất mà sinh viên cần có khi học ngành Tài Chính - Ngân Hàng?	Những tố chất phù hợp với ngành: Khả năng tính toán, tư duy logic và trí nhớ tốt. Đức tính cần cù, cẩn trọng và tỉ mỉ, chính xác tuyệt đối. Có sự đam mê, sáng tạo, năng động. Giỏi ngoại ngữ và tin học là hai yếu tố quan trọng cần thiết để theo học ngành Tài Chính - Ngân Hàng.
Sau khi tốt nghiệp ngành Tài Chính - Ngân Hàng, sinh viên làm các công việc gì?	Các công việc tiêu biểu mà sinh viên có thể đảm nhận: Chuyên viên phụ trách tài chính, kinh doanh tiền tệ, phân tích tài chính doanh nghiệp tại các ngân hàng, chuyên viên thu hồi nợ, chăm sóc khách hàng tại các công ty, tổ chức điều hành các công tác tài chính và kế toán hoặc tư vấn về lĩnh vực tài chính cho các doanh nghiệp trong và ngoài nước.
Ngành Quản Trị Kinh Doanh là ngành gì?	 Quản trị kinh doanh là việc thực hiện các hành vi quản trị quá trình kinh doanh để duy trì, phát triển công việc kinh doanh của doanh nghiệp, bao gồm việc cân nhắc, tạo ra hệ thống, quy trình và tối đa hóa "hiệu suất", "quản lý hoạt động kinh doanh" bằng quá trình tư duy và ra quyết định của nhà quản lý. 
Ngành Quản Trị Kinh Doanh gồm các ngành chuyên sâu gì?	Quản Trị Kinh Doanh có thể chia nhiều ngành chuyên sâu như: Quản trị nhân sự, Quanr trị kinh doanh tổng hợp, Quản trị kinh doanh quốc tế, Thương mại, Quản trị truyền thông, Marketing,...
Mã ngành của ngành Quản Trị Kinh Doanh là?	Mã ngành quản trị kinh doanh là 7340101.
Khi tốt nghiệp ngành Quản Trị Kinh Doanh, sinh viên sẽ nhận được bằng gì? 	Sau khi tốt nghiệp, sinh viên sẽ được cấp bằng Cử nhân do trường Đại Học Công Nghệ Thành Phố Hồ Chí Minh - Hutech cấp theo quy định của Bộ Giáo Dục & Đào Tạo.
Các môn đại cương, sinh viên phải học trong ngành Quản Trị Kinh Doanh là?	Các môn đại cương mà sinh viên phải học: Tiếng Anh, Tư duy thiết kế dự án, Giáo dục thể chất, Triết học Mác Lê-Nin, Nhập môn công nghệ thông tin, Lịch sử đảng cộng sản Việt Nam, Đại số tuyến tính và giải tích, Tư tưởng Hồ Chí Minh, Kinh tế chính trị Mác Lê-Nin, Chủ nghĩa xã hội khoa học, Quản trị học, Pháp luật đại cương, Quốc phòng an ninh.
Tổng số tín chỉ khi học ngành Quản Trị Kinh Doanh?	Có tất cả 155 tín chỉ phải hoàn thành.
Các môn chuyên ngành tiêu biểu của ngành Quản Trị Kinh Doanh?	Các môn chuyên ngành tiêu biểu: Quản trị doanh nghiệp, Quản trị Marketing, Quản trị tài chính ngân hàng, Quản trị vận hành, Quản trị kinh doanh quốc tế, Quản trị dự án, Thị trường chứng khoán, Thống kê kinh doanh, Nghệ thuật lãnh đạo.
Các tố chất mà sinh viên cần có khi học ngành Quản Trị Kinh Doanh?	Những tố chất phù hợp với ngành: Năng động, tự tin, mạnh mẽ, quyết đoán. Có tư day logic, nhạy bén, thích giao tiếp với nhiều người, có khả năng thuyết phục người khác. Chịu áp lực tốt, thích môi trường cạnh tranh. Quan tâm đến những biến động của nền kinh tế, đam mê lĩnh vực kinh doanh.
Sau khi tốt nghiệp ngành Quản Trị Kinh Doanh, sinh viên có thể đảm nhận các công việc gì?	Các công việc tiêu biểu mà sinh viên có thể đảm nhận là: Chuyên viên tại phòng kinh doanh, phòng kế hoạch, phòng marketing, phòng hỗ trợ - giao dịch khách hàng của các công ty, tập đoàn về tài chính, chứng khoán. Thăng tiến trở thành Giám đốc điều hành, Giám đốc tài chính tại các tập đoàn, công ty. Tự thành lập và điều hành công ty riêng.
Ngành Ngôn Ngữ Anh là gì?	Trong xu thế hội nhập, tiếng Anh đã trở thành ngôn ngữ chung của toàn cầu. Hiện thế giới có trên 50 quốc gia sử dụng tiếng Anh là ngôn ngữ chính, gần 80 quốc gia sử dụng tiếng Anh là ngôn ngữ thứ hai. Trong tất cả các lĩnh vực từ kinh doanh, thương mại, truyền thông cho đến du lịch, ngoại giao,... tiếng Anh đều đóng vai trò là ngôn ngữ số 1.
Ngành Ngôn Ngữ Anh có các ngành chuyên sâu gì?	Ngôn Ngữ Anh có thể thành nhiều ngành chuyên sâu như: Biên - Phiên dịch; Giảng dạy tiếng Anh; Anh văn thương mại và Truyền thông quốc tế.
Mã ngành của ngành Ngôn Ngữ Anh là?	Mã ngành của ngành Ngôn Ngữ Anh là 7220201.
Khi tốt nghiệp ngành Ngôn Ngứ Anh, sinh viên sẽ nhận được bằng gì? 	Sau khi tốt nghiệp, sinh viên sẽ được cấp bằng Cử nhân do trường Đại Học Công Nghệ Thành Phố Hồ Chí Minh - Hutech cấp theo quy định của Bộ Giáo Dục & Đào Tạo.
Các môn đại cương, sinh viên phải học trong ngành Ngôn Ngữ Anh là?	Các môn đại cương sinh viên phải học: Tiếng Anh, Tư duy thiết kế dự án, Giáo dục thể chất, Quốc phòng an ninh, Quản trị học, Triết học Mác Lê-Nin, Nhập môn công nghệ thông tin, Lịch sử đảng cộng sản Việt Nam, Tư tưởng Hồ Chí Minh, Kinh tế chính trị Mác Lê-Nin, Chủ nghĩa xã hội khoa học.
Tổng số tín chỉ khi học ngành Ngôn Ngữ Anh?	Có tất cả 143 tín chỉ phải hoàn thành.
Các môn chuyên ngành tiêu biểu của ngành Ngôn Ngữ Anh?	Các môn chuyên ngành tiêu biểu: Văn học Anh-Mỹ, Văn hóa Anh-Mỹ, Biên dịch Anh-Việt,Biên dịch Việt-Anh,Phiên dịch thương mại,Tiếng Anh dùng trong văn bản ngoại giao,Tiếng anh tài chính ngân hàng,Tiếng Anh du lịch,Tiếng Anh giao tiếp kinh doanh.
Các tố chất mà sinh viên cần có khi học ngành Ngôn Ngữ Anh?	Những tố chất phù hợp với ngành:Năng động,có tư duy hướng ngoại,thích khám phá. Cẩn thận, chu đáo, ham học hỏi, có kiến thức rộng về văn hóa-xã hội. Có khả năng diễn đạt và trí nhớ tốt. Có năng khiếu về ngoại ngữ, yêu thích Tiếng Anh.
Sau khi tốt nghiệp ngành Ngôn Ngữ Anh, sinh viên có thể đảm nhận các công việc gì?	Các công việc tiêu biểu mà sinh viên có thể đảm nhận là:Biên dịch viên, phiên dịch viên trong các công ty, cơ quan ngoại giao, cơ quan truyền thông các tổ chức kinh tế, xã hội của Việt Nam và quốc tế; dịch thuật cho các NXB, trung tâm phát hành sách, báo, tạp chí, …Chuyên viên truyền thông, tổ chức sự kiện, thư ký, trợ lý, … trong các công ty nước ngoài.Hướng dẫn viên, chuyên viên tư vấn tại các công ty du lịch, lữ hành, nhà hàng khách sạn.Giáo viên giảng dạy và nghiên cứu tiếng Anh tại các trường đại học, cao đẳng, trung cấp chuyên nghiệp, phổ thông trung học, trung tâm ngoại ngữ.
Ngành Quản trị dịch vụ du lịch & lữ hành là gì?	Quản trị dịch vụ du lịch và lữ hành là ngành học đòi hỏi sự năng động tối đa, bao gồm quá trình quản lý và điều hành du lịch, chịu trách nhiệm phân công công việc cho các hướng dẫn viên du lịch; nhận thông tin để phối hợp với các bộ phận, cơ quan chức năng giải quyết những phát sinh, thiết kế các chương trình du lịch,... Đây được xem là ngành “công nghiệp không khói” giàu tiềm năng nhất của thế kỷ trong xu hướng toàn cầu hóa.
Ngành Quản trị dịch vụ du lịch & lữ hành đào tạo các kiến thức tổng quan gì?	Ngành Quản trị dịch vụ du lịch & lữ hành đào tạo kiến thức tổng quan về du lịch như: địa lý du lịch; văn hóa, tâm lý và tập quán của du khách trong nước và quốc tế. Trang bị kiến thức chuyên môn, các kỹ năng nghiệp vụ về hướng dẫn du lịch, thiết kế tour, quản lý và điều hành tour, thiết kế và quản trị sự kiện du lịch.
Mã ngành của ngành Quản trị dịch vụ du lịch & lữ hành là?	Mã ngành của ngành Quản trị dịch vụ du lịch & lữ hành là 7810103.
Khi tốt nghiệp ngành Quản trị dịch vụ du lịch & lữ hành, sinh viên sẽ nhận được bằng gì?	Sau khi tốt nghiệp, sinh viên sẽ được cấp bằng Cử nhân do trường Đại Học Công Nghệ Thành Phố Hồ Chí Minh - Hutech cấp theo quy định của Bộ Giáo Dục & Đào Tạo.
Các môn đại cương, sinh viên phải học trong ngành Quản trị dịch vụ du lịch & lữ hành là?	Các môn đại cương sinh viên phải học: Tiếng Anh, Tư duy thiết kế dự án, Quốc phòng an ninh, Giáo dục thể chất, Nhập môn công nghệ thông tin, Triết học Mác - Lênin, Kinh tế Chính trị Mác - Lênin, Chủ nghĩa xã hội khoa học, Lịch sử Đảng Cộng sản Việt Nam,Tư tưởng Hồ Chí Minh, Quản trị học.
Các môn chuyên ngành tiêu biểu của ngành Quản trị dịch vụ du lịch & lữ hành?	Các môn chuyên ngành tiêu biểu: Văn hóa tổ chức, Kinh tế du lịch, Văn hóa du lịch, Marketing du lịch, Phong tục-tập quán-lễ hội-truyền thống, Du lịch tôn giáo-tín ngưỡng, Quản trị lữ hành, Địa lí du lịch, Quản trị sự kiện, Hướng dẫn du lịch, Giao tiếp và lễ tân ngoại giao, PR và truyền thông cho sự kiện. 
Các tố chất mà sinh viên cần có khi học ngành Quản trị dịch vụ du lịch & lữ hành?	Những tố chất phù hợp với ngành: Năng động, tự tin, giỏi xử lí tình huống. Thích di chuyển, đam mê khám phá những điều mới lạ. Có tư chất quản lí, giao tiếp tốt. Mong muốn được làm việc và khẳng định bản thân trong lĩnh vực du lịch lữ hành.
Sau khi tốt nghiệp ngành Quản trị dịch vụ du lịch & lữ hành, sinh viên có thể đảm nhận các công việc gì?	Các công việc tiêu biểu mà sinh viên có thể đảm nhận là:Hướng dẫn viên du lịch hoặc chuyên viên phụ trách các bộ phận: lưu trú, tiếp thị, chăm sóc khách hàng, tổ chức hội nghị - sự kiện. Quản trị, điều hành, thiết kế tour tại các công ty du lịch trong và ngoài nước, các tổ chức phi chính phủ.Chuyên viên tại các Sở, Ban, Ngành về Du lịch hoặc nghiên cứu và giảng dạy về du lịch tại các cơ sở đào tạo, viện nghiên cứu.
Ngành Công nghệ Kỹ thuật Ô tô  là gì?	Công nghệ kỹ thuật ô tô là ngành học tích hợp kiến thức của nhiều lĩnh vực: cơ khí, tự động hóa, điện – điện tử và công nghệ chế tạo máy, chuyên về lĩnh vực khai thác, sử dụng và dịch vụ kỹ thuật ô tô – loại phương tiện giao thông vận tải thông dụng và có số lượng nhiều nhất hiện nay như điều hành sản xuất phụ tùng; điều kiện và lắp ráp ô tô; cải tiến, nâng cao hiệu quả sử dụng ô tô.
Ngành Công nghệ Kỹ thuật Ô tô đào tạo các kiến thức tổng quan gì?	Ngành Công nghệ Kỹ thuật Ô tô đào tạo kiến thức và kỹ năng chuyên sâu về cơ khí ô tô – máy động lực, hệ thống truyền động – truyền lực, cơ cấu khí, hệ thống điều khiển,… để có khả năng áp dụng những nguyên lý kỹ thuật cơ bản, kỹ năng thực hành cao và các kỹ năng kỹ thuật liên quan đến ô tô.
Mã ngành của ngành Công nghệ Kỹ thuật Ô tô là?	Mã ngành của ngành Công nghê Kỹ thuật Ô tô là 7510205.
Khi tốt nghiệp ngành Công nghệ Kỹ thuật Ô tô, sinh viên sẽ nhận được bằng gì?	Sau khi tốt nghiệp, sinh viên sẽ được cấp bằng Cử nhân do trường Đại Học Công Nghệ Thành Phố Hồ Chí Minh - Hutech cấp theo quy định của Bộ Giáo Dục & Đào Tạo.
Các môn đại cương, sinh viên phải học trong ngành Công nghệ Kỹ thuật Ô tô là?	Các môn đại cương sinh viên phải học: Tiếng Anh, Tư duy thiết kế dự án, Quốc phòng an ninh, Giáo dục thể chất, Nhập môn Công nghệ Kỹ thuật Ô tô, Đại số tuyến tính và giải tích, Vật lý cơ, Tin học kỹ thuật, Triết học Mác - Lênin, Kinh tế chính trị Mác - Lênin, Chủ nghĩa xã hội khoa học, Lịch sử Đảng Cộng sản Việt Nam,  Tư tưởng Hồ Chí Minh, Pháp luật đại cương.
Tổng số tín chỉ khi học ngành Công nghệ Kỹ thuật Ô tô?	Có tất cả 168 tín chỉ cần phải hoàn thành.
Các môn chuyên ngành tiêu biểu của ngành Công nghệ Kỹ thuật Ô tô?	Các môn chuyền ngành tiêu biểu: Tính toán Ô tô; Hệ thống điện-điện ô tô; Hệ thống điều khiển tự động trên ô tô; Công nghệ chuẩn đoán, sửa chửa và kiểm định ô tô; Hệ thống an toàn và tiện nghi trên ô tô.
Các tố chất mà sinh viên cần có khi học ngành Công nghệ Kỹ thuật Ô tô?	Những tố chất phù hợp với ngành:Sức khỏe tốt,kiên trì và không ngại khó khăn.Cẩn thận,tỉ mỉ,chính xác.Ham học hỏi,thích tiếp cận cái mới.Yêu công nghệ, thích sáng tạo và đam mê lĩnh vực ô tô.
Sau khi tốt nghiệp ngành Công nghệ Kỹ thuật Ô tô, sinh viên có thể đảm nhận các công việc gì?	 Các công việc tiêu biểu mà sinh viên có thể đảm nhận là:Kỹ sư vận hành, giám sát sản xuất phụ tùng, phụ kiện và lắp ráp ô tô - máy động lực tại các nhà máy sản xuất phụ tùng, phụ kiện và lắp ráp ôtô, các cơ sở sửa chữa, bảo trì bảo dưỡng ôtô. Kiểm định viên tại các trạm đăng kiểm ô tô. Nhân viên kinh doanh tại các doanh nghiệp kinh doanh ô tô, máy động lực, phụ tùng ô tô. 
Ngành Marketing là gì?	Marketing là một hình thức không thể thiếu trong kinh doanh, bao gồm tất cả các hoạt động hướng tới khách hàng nhằm thỏa mãn nhu cầu và mong muốn của họ thông qua quá trình tiếp thị sản phẩm, phát triển thương hiệu. Mục tiêu cao nhất của marketing chính là trở thành chiếc cầu nối bền chặt giữa doanh nghiệp với khách hàng mục tiêu.
Ngành Marketing đào tạo các kiến thức tổng quan gì?	 Ngành Marketing đào tạo kiến thức tổng quan về  Marketing hiện đại, bao gồm các khía cạnh: nghiên cứu thị trường, xây dựng và phát triển các mối quan hệ khách hàng, thiết kế chương trình phân phối sản phẩm, tổ chức phân phối sản phẩm, định giá sản phẩm, quảng bá thương hiệu, tổ chức sự kiện,...
Mã ngành của ngành Marketing là?	Mã ngành của ngành Marketing là 7340115.
Khi tốt nghiệp ngành Marketing, sinh viên sẽ nhận được bằng gì?	Sau khi tốt nghiệp, sinh viên sẽ được cấp bằng Cử nhân do trường Đại Học Công Nghệ Thành Phố Hồ Chí Minh - Hutech cấp theo quy định của Bộ Giáo Dục & Đào Tạo.
Các môn đại cương, sinh viên phải học trong ngành Marketing là?	Các môn đại cương sinh viên phải học: Tiếng Anh, Tư duy thiết kế dự án, Quốc phòng an ninh, Giáo dục thể chất, Nhập môn Công nghệ thông tin, Đại số tuyến tính và giải tích, Pháp luật đại cương, Khởi nghiệp, Triết học Mác - Lênin, Kinh tế chính trị Mác - Lênin, Chủ nghĩa xã hội khoa học, Lịch sử Đảng Cộng sản Việt Nam,  Tư tưởng Hồ Chí Minh. Quản trị học. 
